direction	spBLEU	chrF++	len_ratio
tuk_Latn-ace_Arab	4.43	16.48	1.165
run_Latn-ibo_Latn	11.98	33.00	0.997
taq_Tfng-cat_Latn	7.50	23.66	1.013
ita_Latn-als_Latn	28.27	49.07	0.969
mag_Deva-zho_Hans	23.60	19.75	0.935
pan_Guru-lug_Latn	8.62	34.53	1.128
ceb_Latn-slk_Latn	28.07	46.47	0.963
knc_Latn-ceb_Latn	11.71	35.75	1.093
guj_Gujr-als_Latn	27.61	48.94	0.947
zsm_Latn-slk_Latn	27.92	46.90	0.955
ajp_Arab-pbt_Arab	15.12	32.74	1.032
hrv_Latn-asm_Beng	17.71	31.75	0.992
dan_Latn-fra_Latn	44.89	61.40	0.978
gaz_Latn-nld_Latn	16.99	38.77	0.977
ckb_Arab-sun_Latn	15.69	40.02	0.996
ajp_Arab-hrv_Latn	26.13	47.14	0.992
jav_Latn-rus_Cyrl	26.49	43.67	0.942
heb_Hebr-mar_Deva	21.20	39.76	0.975
urd_Arab-war_Latn	21.87	47.51	0.987
mri_Latn-eus_Latn	12.44	33.41	0.931
run_Latn-bjn_Latn	12.18	35.73	0.997
jav_Latn-vec_Latn	14.90	38.50	0.994
dan_Latn-slv_Latn	29.26	49.62	0.969
tha_Thai-ceb_Latn	22.02	47.46	1.017
scn_Latn-knc_Latn	4.79	23.40	1.101
crh_Latn-yor_Latn	9.14	23.60	1.128
hau_Latn-jav_Latn	18.08	42.01	0.954
mni_Beng-quy_Latn	3.24	25.45	1.223
ltz_Latn-azb_Arab	3.66	21.46	1.160
hye_Armn-isl_Latn	22.69	41.17	0.968
grn_Latn-umb_Latn	3.11	24.11	0.905
bem_Latn-lij_Latn	15.18	32.34	1.061
sat_Beng-ell_Grek	12.78	27.88	0.962
ilo_Latn-ell_Grek	26.46	41.22	0.915
afr_Latn-knc_Latn	5.62	24.07	1.116
srd_Latn-dyu_Latn	2.60	17.81	0.953
kan_Knda-umb_Latn	2.18	22.78	0.915
luo_Latn-bak_Cyrl	13.19	29.90	0.895
lij_Latn-san_Deva	5.51	23.58	1.119
tgk_Cyrl-amh_Ethi	21.16	30.88	1.067
tpi_Latn-nya_Latn	12.38	37.05	1.009
uig_Arab-mag_Deva	17.23	36.32	0.980
kac_Latn-bos_Latn	11.96	31.24	0.965
afr_Latn-acq_Arab	25.11	40.64	0.969
mos_Latn-hun_Latn	9.38	25.58	1.014
jav_Latn-lij_Latn	19.60	37.49	1.017
swe_Latn-sin_Sinh	28.93	37.66	0.925
hrv_Latn-plt_Latn	20.24	45.78	1.003
ces_Latn-bod_Tibt	5.50	26.22	1.065
kat_Geor-aeb_Arab	8.91	25.60	1.356
asm_Beng-luo_Latn	10.76	34.00	1.006
taq_Tfng-dzo_Tibt	2.55	20.02	1.163
por_Latn-bho_Deva	17.30	36.10	0.974
gaz_Latn-jav_Latn	14.18	38.55	0.954
kbp_Latn-fin_Latn	9.73	29.19	0.902
prs_Arab-bos_Latn	26.49	47.46	0.980
bjn_Latn-bho_Deva	15.42	34.03	0.930
azj_Latn-min_Latn	13.23	39.66	1.072
fao_Latn-prs_Arab	18.31	38.41	0.998
hau_Latn-nld_Latn	21.15	42.55	0.962
prs_Arab-awa_Deva	13.26	32.11	1.042
aka_Latn-fur_Latn	15.86	34.86	1.009
knc_Arab-smo_Latn	3.42	18.91	1.089
ltz_Latn-grn_Latn	12.42	32.19	1.011
hun_Latn-cym_Latn	30.82	48.74	0.995
umb_Latn-aeb_Arab	0.91	9.66	1.916
bem_Latn-rus_Cyrl	20.06	37.29	0.962
gle_Latn-tsn_Latn	19.64	43.31	0.995
dyu_Latn-srd_Latn	7.34	25.58	1.032
scn_Latn-acq_Arab	20.99	36.60	0.942
nld_Latn-vie_Latn	29.68	48.63	0.967
kac_Latn-awa_Deva	7.37	21.32	1.113
bos_Latn-slk_Latn	33.32	51.33	0.957
kmb_Latn-hne_Deva	9.34	22.83	1.015
knc_Arab-mlt_Latn	3.27	14.78	1.108
bem_Latn-vec_Latn	11.25	32.86	0.963
lua_Latn-bjn_Arab	3.84	15.05	1.088
pan_Guru-kam_Latn	3.32	22.41	1.202
ltz_Latn-zho_Hant	11.54	12.84	0.659
nya_Latn-kmb_Latn	3.22	21.78	0.866
ron_Latn-ckb_Arab	18.84	40.43	1.037
mar_Deva-afr_Latn	28.06	51.31	0.976
azj_Latn-fao_Latn	15.90	36.56	1.022
bem_Latn-nso_Latn	16.48	41.14	1.050
kmr_Latn-epo_Latn	22.33	43.67	0.967
fij_Latn-tha_Thai	17.97	28.36	0.873
mya_Mymr-swh_Latn	22.30	46.54	0.990
snd_Arab-war_Latn	22.92	48.07	0.989
yor_Latn-bos_Latn	14.14	33.53	0.897
bak_Cyrl-taq_Tfng	6.23	17.41	0.963
mar_Deva-ceb_Latn	24.11	49.52	0.994
hne_Deva-war_Latn	24.16	50.04	1.017
lua_Latn-isl_Latn	12.73	29.31	0.902
fuv_Latn-kon_Latn	8.18	32.67	1.070
spa_Latn-lus_Latn	12.43	34.69	0.977
sot_Latn-lit_Latn	21.60	42.41	0.971
spa_Latn-hat_Latn	19.20	43.61	1.070
yor_Latn-awa_Deva	8.12	21.64	1.035
lij_Latn-luo_Latn	11.82	35.75	1.020
ydd_Hebr-gla_Latn	19.64	42.70	0.998
hin_Deva-kin_Latn	17.21	42.00	1.061
lus_Latn-uig_Arab	13.64	28.09	1.016
plt_Latn-xho_Latn	16.34	39.13	1.000
als_Latn-pan_Guru	28.03	41.90	0.991
som_Latn-hun_Latn	18.90	38.43	0.936
fin_Latn-ace_Latn	6.79	31.08	1.048
pan_Guru-nob_Latn	25.11	48.02	0.971
ary_Arab-tgl_Latn	21.17	46.88	0.936
acq_Arab-als_Latn	26.05	48.07	0.977
tum_Latn-dzo_Tibt	5.80	26.95	1.163
sag_Latn-fuv_Latn	2.46	16.30	1.100
nus_Latn-glg_Latn	12.18	31.81	0.953
kas_Deva-khk_Cyrl	10.90	28.39	1.091
apc_Arab-uig_Arab	17.76	35.44	1.024
deu_Latn-sun_Latn	17.16	41.51	1.028
smo_Latn-snd_Arab	17.89	34.64	0.987
smo_Latn-kik_Latn	9.46	29.86	0.921
gle_Latn-arb_Arab	28.59	44.22	0.972
hye_Armn-bjn_Arab	5.03	17.52	1.123
mkd_Cyrl-guj_Gujr	27.56	44.49	0.994
ilo_Latn-tso_Latn	20.07	44.90	1.047
